[]
[('かがやくリザードン', 'K', '炎', '015/172', 'S12a')]
[('ジュナイパー', 'PROMO', '草', '017/SM-P', 'SM-P')]
[('ガオガエン', 'PROMO', '炎', '018/SM-P', 'SM-P')]
[('アシレーヌ', 'PROMO', '水', '019/SM-P', 'SM-P')]
[('ハウ', 'PROMO', 'サポート', '020/SM-P', 'SM-P')]
[('イワンコ', 'PROMO', '闘', '021/SM-P', 'SM-P')]
[('バクガメス', 'PROMO', '炎', '022/SM-P', 'SM-P')]
[('アローラロコン', 'PROMO', '水', '023/SM-P', 'SM-P')]
[('トゲデマル', 'PROMO', '雷', '024/SM-P', 'SM-P')]
[('ふしぎなアメ', 'PROMO', 'グッズ', '025/SM-P', 'SM-P')]
[('マケンカニ', 'PROMO', '闘', '026/SM-P', 'SM-P')]
[('ヤレユータン', 'PROMO', '無', '027/SM-P', 'SM-P')]
[('コスモッグ', 'PROMO', '超', '030/SM-P', 'SM-P')]
[('アローラニャース', 'PROMO', '悪', '032/SM-P', 'SM-P')]
[('スイレン', 'PROMO', 'サポート', '036/SM-P', 'SM-P')]
[('ポンチョを着たピカチュウ', 'PROMO', '雷', '037/SM-P', 'SM-P')]
[('ポンチョを着たピカチュウ', 'PROMO', '雷', '038/SM-P', 'SM-P')]
[('トゲデマル', 'PROMO', '雷', '039/SM-P', 'SM-P')]
[('こだわりハチマキ', 'PROMO', 'グッズ', '040/SM-P', 'SM-P')]
[('ダダリン', 'PROMO', '超', '042/SM-P', 'SM-P')]
[('ネッコアラ', 'PROMO', '無', '043/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '044/SM-P', 'SM-P')]
[('カプ・コケコGX', 'PROMO', '雷', '048/SM-P', 'SM-P')]
[('モクロー', 'PROMO', '草', '049/SM-P', 'SM-P')]
[('ニャビー', 'PROMO', '炎', '050/SM-P', 'SM-P')]
[('アシマリ', 'PROMO', '水', '051/SM-P', 'SM-P')]
[('ジジーロン', 'PROMO', 'ドラゴン', '016/SM-P', 'SM-P')]
[('アローラロコン', 'PROMO', '水', '052/SM-P', 'SM-P')]
[('ライチ', 'PROMO', 'サポート', '053/SM-P', 'SM-P')]
[('イースターのピカチュウ', 'PROMO', '雷', '055/SM-P', 'SM-P')]
[('ヒドイデ', 'PROMO', '超', '056/SM-P', 'SM-P')]
[('ニャビー', 'PROMO', '炎', '059/SM-P', 'SM-P')]
[('ヒトカゲ', 'PROMO', '炎', '060/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '061/SM-P', 'SM-P')]
[('モクロー', 'PROMO', '草', '062/SM-P', 'SM-P')]
[('ニャビー', 'PROMO', '炎', '063/SM-P', 'SM-P')]
[('アシマリ', 'PROMO', '水', '064/SM-P', 'SM-P')]
[('アマージョGX', 'PROMO', '草', '065/SM-P', 'SM-P')]
[('ルナアーラ', 'PROMO', '超', '066/SM-P', 'SM-P')]
[('ソルガレオ', 'PROMO', '鋼', '067/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '068/SM-P', 'SM-P')]
[('ルカリオ', 'PROMO', '闘', '069/SM-P', 'SM-P')]
[('ポリゴンZ', 'PROMO', '無', '070/SM-P', 'SM-P')]
[('サトシのピカチュウ', 'PROMO', '雷', '071/SM-P', 'SM-P')]
[('サトシのピカチュウ', 'PROMO', '雷', '072/SM-P', 'SM-P')]
[('サトシのピカチュウ', 'PROMO', '雷', '073/SM-P', 'SM-P')]
[('サトシのピカチュウ', 'PROMO', '雷', '074/SM-P', 'SM-P')]
[('サトシのピカチュウ', 'PROMO', '雷', '075/SM-P', 'SM-P')]
[('サトシのピカチュウ', 'PROMO', '雷', '076/SM-P', 'SM-P')]
[('アローラサンド', 'PROMO', '水', '077/SM-P', 'SM-P')]
[('ヒドイデ', 'PROMO', '超', '078/SM-P', 'SM-P')]
[]
[('リーリエ', 'PROMO', 'サポート', '080/SM-P', 'SM-P')]
[('コスモッグ', 'PROMO', '超', '081/SM-P', 'SM-P')]
[('ハラ', 'PROMO', 'サポート', '082/SM-P', 'SM-P')]
[('ひかるホウオウ', 'PROMO', '炎', '083/SM-P', 'SM-P')]
[('ロイヤルマスク', 'PROMO', 'サポート', '084/SM-P', 'SM-P')]
[('ロイヤルマスク', 'PROMO', 'サポート', '085/SM-P', 'SM-P')]
[('サトシのピカチュウ', 'PROMO', '雷', '086/SM-P', 'SM-P')]
[('トウホクのピカチュウ', 'PROMO', '雷', '088/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '108/SM-P', 'SM-P')]
[('トゲデマル', 'PROMO', '雷', '110/SM-P', 'SM-P')]
[('キテルグマ', 'PROMO', '無', '087/SM-P', 'SM-P')]
[('ジラーチ', 'PROMO', '超', '089/SM-P', 'SM-P')]
[('おおきいマラサダ', 'PROMO', 'グッズ', '090/SM-P', 'SM-P')]
[('ハイパーボール', 'PROMO', 'グッズ', '091/SM-P', 'SM-P')]
[('ポケモンいれかえ', 'PROMO', 'グッズ', '092/SM-P', 'SM-P')]
[('ポケモンキャッチャー', 'PROMO', 'グッズ', '093/SM-P', 'SM-P')]
[('どくバリ', 'PROMO', 'グッズ', '094/SM-P', 'SM-P')]
[('ククイ博士', 'PROMO', 'サポート', '096/SM-P', 'SM-P')]
[('ハウ', 'PROMO', 'サポート', '097/SM-P', 'SM-P')]
[('レインボーエネルギー', 'PROMO', '特殊エネルギー', '098/SM-P', 'SM-P')]
[('アローラライチュウ', 'PROMO', '雷', '100/SM-P', 'SM-P')]
[('ラティアス', 'PROMO', '超', '101/SM-P', 'SM-P')]
[('ゾロア', 'PROMO', '悪', '105/SM-P', 'SM-P')]
[('バタフリー', 'PROMO', '草', '111/SM-P', 'SM-P')]
[('ヒトカゲ', 'PROMO', '炎', '112/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '114/SM-P', 'SM-P')]
[('チャンピオンズフェスティバル*2017', 'PROMO', 'スタジアム', 'SM-P', 'SM-P')]
[('マーシャドーGX', 'PROMO', '闘', '116/SM-P', 'SM-P')]
[('レジギガス', 'PROMO', '無', '117/SM-P', 'SM-P')]
[('サザンドラ', 'PROMO', '悪', '118/SM-P', 'SM-P')]
[('エーフィGX', 'PROMO', '超', '124/SM-P', 'SM-P')]
[('ブラッキーGX', 'PROMO', '悪', '125/SM-P', 'SM-P')]
[('ムキムキダンベル', 'PROMO', 'グッズ', '126/SM-P', 'SM-P')]
[('カプ・コケコ', 'PROMO', '雷', '127/SM-P', 'SM-P')]
[('基本草エネルギー:チャンピオンズリーグ2018', 'PROMO', '基本エネルギー', '128/SM-P', 'SM-P')]
[('基本炎エネルギー*チャンピオンズリーグ2018', 'PROMO', '基本エネルギー', '129/SM-P', 'SM-P')]
[('基本水エネルギー*チャンピオンズリーグ2018', 'PROMO', '基本エネルギー', '130/SM-P', 'SM-P')]
[('基本雷エネルギー*チャンピオンズリーグ2018', 'PROMO', '基本エネルギー', '131/SM-P', 'SM-P')]
[('基本超エネルギー*チャンピオンズリーグ2018', 'PROMO', '基本エネルギー', '132/SM-P', 'SM-P')]
[('基本闘エネルギー*チャンピオンズリーグ2018', 'PROMO', '基本エネルギー', '133/SM-P', 'SM-P')]
[('基本悪エネルギー:チャンピオンズリーグ2018', 'PROMO', '基本エネルギー', '134/SM-P', 'SM-P')]
[('基本鋼エネルギー*チャンピオンズリーグ2018', 'PROMO', '基本エネルギー', '135/SM-P', 'SM-P')]
[('シルヴァディGX', 'PROMO', '無', '122/SM-P', 'SM-P')]
[('マーシャドー', 'PROMO', '超', '123/SM-P', 'SM-P')]
[('ポンチョを着たイーブイ', 'PROMO', '無', '137/SM-P', 'SM-P')]
[('ポンチョを着たイーブイ', 'PROMO', '無', '138/SM-P', 'SM-P')]
[('ポンチョを着たイーブイ', 'PROMO', '無', '139/SM-P', 'SM-P')]
[('ポンチョを着たイーブイ', 'PROMO', '無', '140/SM-P', 'SM-P')]
[('ポンチョを着たイーブイ', 'PROMO', '無', '141/SM-P', 'SM-P')]
[('ポンチョを着たイーブイ', 'PROMO', '無', '142/SM-P', 'SM-P')]
[('ポンチョを着たイーブイ', 'PROMO', '無', '143/SM-P', 'SM-P')]
[('ポンチョを着たイーブイ', 'PROMO', '無', '144/SM-P', 'SM-P')]
[('ダストダス', 'PROMO', '超', '145/SM-P', 'SM-P')]
[('ロコン', 'PROMO', '炎', '146/SM-P', 'SM-P')]
[('アローラロコン', 'PROMO', '水', '147/SM-P', 'SM-P')]
[('リーリエ', 'PROMO', 'サポート', '148/SM-P', 'SM-P')]
[('ロトム図鑑', 'PROMO', 'グッズ', '149/SM-P', 'SM-P')]
[('イワンコ', 'PROMO', '闘', '150/SM-P', 'SM-P')]
[('ルガルガン', 'PROMO', '闘', '151/SM-P', 'SM-P')]
[('カプ・テテフ', 'PROMO', '超', '152/SM-P', 'SM-P')]
[('カプ・レヒレ', 'PROMO', '水', '153/SM-P', 'SM-P')]
[('殿堂の書', 'PROMO', 'グッズ', 'SM-P', 'SM-P')]
[('カプ・コケコ', 'PROMO', '雷', '154/SM-P', 'SM-P')]
[('マーシャドー', 'PROMO', '超', '155/SM-P', 'SM-P')]
[('アローラライチュウ', 'PROMO', '雷', '157/SM-P', 'SM-P')]
[('ゾロアーク', 'PROMO', '悪', '162/SM-P', 'SM-P')]
[('ウルトラボール', 'PROMO', 'グッズ', '164/SM-P', 'SM-P')]
[('マニューラ', 'PROMO', '悪', '165/SM-P', 'SM-P')]
[('クレセリア', 'PROMO', '超', '166/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '168/SM-P', 'SM-P')]
[('モクロー', 'PROMO', '草', '169/SM-P', 'SM-P')]
[('基本草エネルギー:ファミリーマートサークルKサンクス', 'PROMO', '基本エネルギー', '170/SM-P', 'SM-P')]
[('基本草エネルギー*ファミリーマートサークルKサンクスミラー', 'PROMO', '基本エネルギー', '171/SM-P', 'SM-P')]
[('ニャビー', 'PROMO', '炎', '172/SM-P', 'SM-P')]
[('基本炎エネルギー*セブンイレブン', 'PROMO', '基本エネルギー', '173/SM-P', 'SM-P')]
[('基本炎エネルギー*セブンイレブンミラー', 'PROMO', '基本エネルギー', '174/SM-P', 'SM-P')]
[('アシマリ', 'PROMO', '水', '175/SM-P', 'SM-P')]
[('基本水エネルギー*LAWSON176', 'PROMO', '基本エネルギー', '176/SM-P', 'SM-P')]
[('基本水エネルギー*LAWSONミラー', 'PROMO', '基本エネルギー', '177/SM-P', 'SM-P')]
[('ジガルデ', 'PROMO', 'ドラゴン', '178/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '179/SM-P', 'SM-P')]
[('グズマ', 'PROMO', 'サポート', '180/SM-P', 'SM-P')]
[('ヒードラン', 'PROMO', '鋼', '167/SM-P', 'SM-P')]
[('デンジュモク', 'PROMO', '雷', '181/SM-P', 'SM-P')]
[('基本雷エネルギー*ポケモンカードステーション前期', 'PROMO', '基本エネルギー', '185/SM-P', 'SM-P')]
[('基本超エネルギー*ポケモンカードステーション前期', 'PROMO', '基本エネルギー', '186/SM-P', 'SM-P')]
[('ボスごっこピカチュウ', 'ロケット団(PROMO', '雷', '191/SM-P', 'SM-P')]
[('ボスごっこピカチュウ', 'アクア団(PROMO', '雷', '192/SM-P', 'SM-P')]
[('ボスごっこピカチュウ', 'マグマ団(PROMO', '雷', '193/SM-P', 'SM-P')]
[('ボスごっこピカチュウ', 'ギンガ団(PROMO', '雷', '194/SM-P', 'SM-P')]
[('ボスごっこピカチュウ', 'プラズマ団(PROMO', '雷', '195/SM-P', 'SM-P')]
[('ボスごっこピカチュウ', 'フレア団(PROMO', '雷', '196/SM-P', 'SM-P')]
[('ボスごっこピカチュウ', 'スカル団(PROMO', '雷', '197/SM-P', 'SM-P')]
[('ミミッキュ', 'PROMO', 'フェアリー', '198/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '199/SM-P', 'SM-P')]
[('ベベノム', 'PROMO', '超', '202/SM-P', 'SM-P')]
[('ベベノム', 'PROMO', '超', '203/SM-P', 'SM-P')]
[('アローラロコン', 'PROMO', '水', '206/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '207/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '214/SM-P', 'SM-P')]
[('デデンネ', 'PROMO', '雷', '215/SM-P', 'SM-P')]
[('ジガルデGX', 'PROMO', '闘', '216/SM-P', 'SM-P')]
[('アローラサンドパン', 'PROMO', '鋼', '217/SM-P', 'SM-P')]
[('アローラキュウコン', 'PROMO', 'フェアリー', '218/SM-P', 'SM-P')]
[('エーテル財団職員', 'PROMO', 'サポート', '219/SM-P', 'SM-P')]
[('メレシー', 'PROMO', '闘', '212/SM-P', 'SM-P')]
[('ネクロズマGX', 'PROMO', '超', '220/SM-P', 'SM-P')]
[('ルガルガン', 'PROMO', '闘', '221/SM-P', 'SM-P')]
[('チルタリス', 'PROMO', 'ドラゴン', '222/SM-P', 'SM-P')]
[('アセロラ', 'PROMO', 'サポート', '223/SM-P', 'SM-P')]
[('ハイパーボール', 'PROMO', 'グッズ', 'SM-P', 'SM-P')]
[('ハウ', 'PROMO', 'サポート', 'SM-P', 'SM-P')]
[('マーマネ', 'PROMO', 'サポート', 'SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '224/SM-P', 'SM-P')]
[('シェイミ', 'PROMO', '草', '225/SM-P', 'SM-P')]
[('ジュカイン', 'PROMO', '草', '228/SM-P', 'SM-P')]
[('デオキシス', 'PROMO', '超', '232/SM-P', 'SM-P')]
[('ウルトラネクロズマ', 'PROMO', 'ドラゴン', '236/SM-P', 'SM-P')]
[('マオ', 'PROMO', 'サポート', '246/SM-P', 'SM-P')]
[('ザングース', 'PROMO', '無', '226/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '227/SM-P', 'SM-P')]
[('ルギア', 'PROMO', '無', '237/SM-P', 'SM-P')]
[('ゼクロムGX', 'PROMO', '雷', '238/SM-P', 'SM-P')]
[('ゼクロムGX', 'PROMO', '雷', '239/SM-P', 'SM-P')]
[('ゼクロムGX', 'PROMO', '雷', '240/SM-P', 'SM-P')]
[('ゼラオラ', 'PROMO', '雷', '241/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '242/SM-P', 'SM-P')]
[('イーブイ', 'PROMO', '無', '243/SM-P', 'SM-P')]
[('イーブイ', 'PROMO', '無', '245/SM-P', 'SM-P')]
[('イーブイ', 'PROMO', '無', '247/SM-P', 'SM-P')]
[('ニャビー', 'PROMO', '炎', '259/SM-P', 'SM-P')]
[('ハリマロン', 'PROMO', '草', '260/SM-P', 'SM-P')]
[('マーイーカ', 'PROMO', '超', '261/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '262/SM-P', 'SM-P')]
[('ケンタロスGX', 'PROMO', '無', '263/SM-P', 'SM-P')]
[('ミミッキュ', 'PROMO', '超', '264/SM-P', 'SM-P')]
[('袴姿のピカチュウ', 'PROMO', '雷', '208/SM-P', 'SM-P')]
[('火消し姿のピカチュウ', 'PROMO', '雷', '209/SM-P', 'SM-P')]
[('紳士風のピカチュウ', 'PROMO', '雷', '210/SM-P', 'SM-P')]
[('桜アフロのピカチュウ', 'PROMO', '雷', '211/SM-P', 'SM-P')]
[('プレイヤーズセレモニー', 'PROMO', 'スタジアム', '248/SM-P', 'SM-P')]
[('チャンピオンズフェスティバル*2018', 'PROMO', 'スタジアム', 'SM-P', 'SM-P')]
[('ウツギ博士のレクチャー', 'PROMO', 'サポート', '250/SM-P', 'SM-P')]
[('アローラガラガラGX', 'PROMO', '炎', '252/SM-P', 'SM-P')]
[('ヤドン', 'PROMO', '水', '253/SM-P', 'SM-P')]
[('ラティアス', 'PROMO', 'ドラゴン', '256/SM-P', 'SM-P')]
[('ラティオス', 'PROMO', 'ドラゴン', '257/SM-P', 'SM-P')]
[('エネルギースピナー', 'PROMO', 'グッズ', '258/SM-P', 'SM-P')]
[('シロナ', 'PROMO', 'サポート', '266/SM-P', 'SM-P')]
[('レッドのピカチュウ', 'PROMO', '雷', '270/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '249/SM-P', 'SM-P')]
[('バクフーン', 'PROMO', '炎', '265/SM-P', 'SM-P')]
[('リーフィアGX', 'PROMO', '草', '268/SM-P', 'SM-P')]
[('グレイシアGX', 'PROMO', '水', '269/SM-P', 'SM-P')]
[('エスケープボード', 'PROMO', 'グッズ', '271/SM-P', 'SM-P')]
[('ともだちてちょう', 'PROMO', 'グッズ', '272/SM-P', 'SM-P')]
[('ポケモンだいすきクラブ', 'PROMO', 'サポート', '273/SM-P', 'SM-P')]
[('ヨコハマのピカチュウ', 'PROMO', '雷', '280/SM-P', 'SM-P')]
[('ヨコハマのピカチュウ', 'PROMO', '雷', '281/SM-P', 'SM-P')]
[('ヨコハマのピカチュウ', 'PROMO', '雷', '282/SM-P', 'SM-P')]
[('ヨコハマのピカチュウ', 'PROMO', '雷', '283/SM-P', 'SM-P')]
[('コダック', 'PROMO', '水', '286/SM-P', 'SM-P')]
[('イーブイ', 'PROMO', '無', '287/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '288/SM-P', 'SM-P')]
[('ミミッキュ', 'PROMO', '超', '289/SM-P', 'SM-P')]
[('モクロー', 'PROMO', '草', '290/SM-P', 'SM-P')]
[('フウとラン', 'PROMO', 'サポート', '296/SM-P', 'SM-P')]
[('ブースター', 'PROMO', '炎', '274/SM-P', 'SM-P')]
[('シャワーズ', 'PROMO', '水', '275/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '276/SM-P', 'SM-P')]
[('ファイヤー', 'PROMO', '炎', '277/SM-P', 'SM-P')]
[('フリーザー', 'PROMO', '水', '278/SM-P', 'SM-P')]
[('サンダー', 'PROMO', '雷', '279/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '291/SM-P', 'SM-P')]
[('モクロー', 'PROMO', '草', '292/SM-P', 'SM-P')]
[('アローラロコン', 'PROMO', '水', '293/SM-P', 'SM-P')]
[('ミミッキュ', 'PROMO', '超', '294/SM-P', 'SM-P')]
[('イーブイ', 'PROMO', '無', '295/SM-P', 'SM-P')]
[('イーブイ&カビゴンGX', 'PROMO', '無', '297/SM-P', 'SM-P')]
[('サンダース', 'PROMO', '雷', '299/SM-P', 'SM-P')]
[('サンダー', 'PROMO', '雷', '305/SM-P', 'SM-P')]
[('イーブイ', 'PROMO', '無', '306/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '307/SM-P', 'SM-P')]
[('かんこうきゃく', 'PROMO', 'サポート', '308/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '200/SM-P', 'SM-P')]
[('ジラーチ', 'PROMO', '鋼', '322/SM-P', 'SM-P')]
[('ニンフィアGX', 'PROMO', 'フェアリー', '323/SM-P', 'SM-P')]
[('エリカのおもてなし', 'PROMO', 'サポート', '324/SM-P', 'SM-P')]
[('お茶会ごっこピカチュウ', 'PROMO', '雷', '325/SM-P', 'SM-P')]
[('イーブイ', 'PROMO', '無', '326/SM-P', 'SM-P')]
[('おとりよせパッド', 'PROMO', 'グッズ', '328/SM-P', 'SM-P')]
[('ともだちてちょう', 'PROMO', 'グッズ', '329/SM-P', 'SM-P')]
[('ポケモン通信', 'PROMO', 'グッズ', '330/SM-P', 'SM-P')]
[('カヒリ', 'PROMO', 'サポート', '333/SM-P', 'SM-P')]
[('シロナ', 'PROMO', 'サポート', '335/SM-P', 'SM-P')]
[('ポケモンだいすきクラブ', 'PROMO', 'サポート', '336/SM-P', 'SM-P')]
[('ウソッキー', 'PROMO', '闘', '319/SM-P', 'SM-P')]
[('あばれる君', 'PROMO', 'サポート', '320/SM-P', 'SM-P')]
[('名探偵ピカチュウ', 'PROMO', '雷', '337/SM-P', 'SM-P')]
[('名探偵ピカチュウ', 'PROMO', '雷', '338/SM-P', 'SM-P')]
[('名探偵ピカチュウ', 'PROMO', '雷', '339/SM-P', 'SM-P')]
[('ミュウ', 'PROMO', '超', '342/SM-P', 'SM-P')]
[('基本草エネルギー*ポケモンカードステーション後期', 'PROMO', '基本エネルギー', '344/SM-P', 'SM-P')]
[('基本炎エネルギー*ポケモンカードステーション後期', 'PROMO', '基本エネルギー', '345/SM-P', 'SM-P')]
[('基本水エネルギー*ポケモンカードステーション後期', 'PROMO', '基本エネルギー', '346/SM-P', 'SM-P')]
[('基本雷エネルギー*ポケモンカードステーション後期', 'PROMO', '基本エネルギー', '347/SM-P', 'SM-P')]
[('基本超エネルギー*ポケモンカードステーション後期', 'PROMO', '基本エネルギー', '348/SM-P', 'SM-P')]
[('基本闘エネルギー*ポケモンカードステーション後期', 'PROMO', '基本エネルギー', '349/SM-P', 'SM-P')]
[('基本悪エネルギー*ポケモンカードステーション後期', 'PROMO', '基本エネルギー', '350/SM-P', 'SM-P')]
[('基本鋼エネルギー*ポケモンカードステーション後期', 'PROMO', '基本エネルギー', '351/SM-P', 'SM-P')]
[('セレビィ', 'PROMO', '超', '361/SM-P', 'SM-P')]
[('リザードン', 'PROMO', '炎', '366/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '367/SM-P', 'SM-P')]
[('アーマードミュウツー', 'PROMO', '超', '365/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '369/SM-P', 'SM-P')]
[('レッドの挑戦', 'PROMO', 'サポート', '370/SM-P', 'SM-P')]
[('イーブイ', 'PROMO', '無', '371/SM-P', 'SM-P')]
[('チコリータ', 'PROMO', '草', '373/SM-P', 'SM-P')]
[('ニャビー', 'PROMO', '炎', '374/SM-P', 'SM-P')]
[('ニャース', 'PROMO', '無', '375/SM-P', 'SM-P')]
[('エリカ', 'PROMO', 'サポート', '362/SM-P', 'SM-P')]
[('ミュウツーGX', 'PROMO', '超', '363/SM-P', 'SM-P')]
[('ミュウツーGX', 'PROMO', '超', '364/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '376/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '377/SM-P', 'SM-P')]
[('イーブイ', 'PROMO', '無', '378/SM-P', 'SM-P')]
[('アローラロコン', 'PROMO', '水', '379/SM-P', 'SM-P')]
[('基本水エネルギー:LAWSON380', 'PROMO', '基本エネルギー', '380/SM-P', 'SM-P')]
[('ピッピ', 'PROMO', 'フェアリー', '381/SM-P', 'SM-P')]
[('海で遊ぶピカチュウ', 'PROMO', '雷', '392/SM-P', 'SM-P')]
[('ピカチュウGX', 'PROMO', '雷', '393/SM-P', 'SM-P')]
[('チャンピオンズフェスティバル*2019', 'PROMO', 'スタジアム', 'SM-P', 'SM-P')]
[('リーフィア', 'PROMO', '草', '382/SM-P', 'SM-P')]
[('グレイシア', 'PROMO', '水', '385/SM-P', 'SM-P')]
[('レジギガス', 'PROMO', '無', '391/SM-P', 'SM-P')]
[('アセロラ', 'PROMO', 'サポート', '395/SM-P', 'SM-P')]
[('グズマ', 'PROMO', 'サポート', '396/SM-P', 'SM-P')]
[('リーリエ', 'PROMO', 'サポート', '397/SM-P', 'SM-P')]
[('プレイヤーズセレモニー', 'PROMO', 'スタジアム', '398/SM-P', 'SM-P')]
[('イーブイ', 'PROMO', '無', '399/SM-P', 'SM-P')]
[('ポケモン通信', 'PROMO', 'グッズ', '402/SM-P', 'SM-P')]
[('イーブイ', 'PROMO', '無', '403/SM-P', 'SM-P')]
[('ボルケニオン', 'PROMO', '炎', '404/SM-P', 'SM-P')]
[('ミュウツー', 'PROMO', '超', '405/SM-P', 'SM-P')]
[('ともだちてちょう', 'PROMO', 'グッズ', '406/SM-P', 'SM-P')]
[('漫才ごっこピカチュウ', 'PROMO', '雷', '407/SM-P', 'SM-P')]
[('ピカチュウ', 'PROMO', '雷', '400/SM-P', 'SM-P')]
[('アローラの仲間たち', 'PROMO', 'サポート', '401/SM-P', 'SM-P')]
[('サーナイト', 'PROMO', 'フェアリー', '408/SM-P', 'SM-P')]
[('古代ミュウ:2019', '', '超', '-', 'SM-P')]
[('ネストボール', 'D', 'グッズ', '001/018', 'SMB')]
[('エネルギー回収', 'D', 'グッズ', '036/059', 'SMA')]
[('ネストボール', 'D', 'グッズ', '043/059', 'SMA')]
[('レインボーエネルギー', 'D', '特殊エネルギー', '059/059', 'SMA')]
[('アローラベトベター', 'C', '超', '022/060', 'SM1M')]
[('アローラベトベトン', 'R', '超', '023/060', 'SM1M')]
[('ブラッキーGX', 'RR', '悪', '037/060', 'SM1M')]
[('エネルギー回収', 'U', 'グッズ', '053/060', 'SM1M')]
[('ネストボール', 'U', 'グッズ', '055/060', 'SM1M')]
[('レインボーエネルギー', 'U', '特殊エネルギー', '060/060', 'SM1M')]
[('ラランテスGX', 'SR', '草', '061/060', 'SM1M')]
[('ルナアーラGX', 'SR', '超', '062/060', 'SM1M')]
[('ブラッキーGX', 'SR', '悪', '063/060', 'SM1M')]
[('ケンタロスGX', 'SR', '無', '064/060', 'SM1M')]
[('スカル団のしたっぱ', 'SR', 'サポート', '065/060', 'SM1M')]
[('リーリエ', 'SR', 'サポート', '066/060', 'SM1M')]
[('ラランテスGX', 'HR', '草', '067/060', 'SM1M')]
[('ルナアーラGX', 'HR', '超', '068/060', 'SM1M')]
[('ブラッキーGX', 'HR', '悪', '069/060', 'SM1M')]
[('ケンタロスGX', 'HR', '無', '070/060', 'SM1M')]
[('ネストボール', 'UR', 'グッズ', '071/060', 'SM1M')]
[('ポケモンいれかえ', 'UR', 'グッズ', '072/060', 'SM1M')]
[('基本超エネルギー', 'UR', '基本エネルギー', '073/060', 'SM1M')]
[('エーフィGX', 'RR', '超', '024/060', 'SM1S')]
[('ラプラスGX', 'SR', '水', '061/060', 'SM1S')]
[('エーフィGX', 'SR', '超', '062/060', 'SM1S')]
[('ソルガレオGX', 'SR', '鋼', '063/060', 'SM1S')]
[('デカグースGX', 'SR', '無', '064/060', 'SM1S')]
[('イリマ', 'SR', 'サポート', '065/060', 'SM1S')]
[('ククイ博士', 'SR', 'サポート', '066/060', 'SM1S')]
[('ラプラスGX', 'HR', '水', '067/060', 'SM1S')]
[('エーフィGX', 'HR', '超', '068/060', 'SM1S')]
[('ソルガレオGX', 'HR', '鋼', '069/060', 'SM1S')]
[('デカグースGX', 'HR', '無', '070/060', 'SM1S')]
[('ハイパーボール', 'UR', 'グッズ', '071/060', 'SM1S')]
[('ロトム図鑑', 'UR', 'グッズ', '072/060', 'SM1S')]
[('基本鋼エネルギー', 'UR', '基本エネルギー', '073/060', 'SM1S')]
[('モクロー', 'D', '草', '001/004', 'SM0')]
[('ピカチュウ', 'D', '雷', '004/004', 'SM0')]
[('メタグロスGX', 'SR', '鋼', '054/050', 'SM2L')]
[]
[]
[('ピカチュウ', 'PROMO', '雷', '001/XY-P', 'XY-P')]
[('ライチュウ', 'PROMO', '雷', '002/XY-P', 'XY-P')]
[('エネルギー回収', 'PROMO', 'グッズ', '003/XY-P', 'XY-P')]
[('エネルギーつけかえ', 'PROMO', 'グッズ', '004/XY-P', 'XY-P')]
[('スーパーポケモン回収', 'PROMO', 'グッズ', '005/XY-P', 'XY-P')]
[('ガブリアスEX', 'PROMO', 'ドラゴン', '010/XY-P', 'XY-P')]
[('ゴーゴート', 'PROMO', '草', '017/XY-P', 'XY-P')]
[('ファイアロー', 'PROMO', '炎', '018/XY-P', 'XY-P')]
[('ちからのハチマキ:リザードンメガバトル開催記念キャンペーン', 'PROMO', 'グッズ', '019/XY-P', 'XY-P')]
[('プラターヌ博士', 'PROMO', 'サポート', '028/XY-P', 'XY-P')]
[('ブリガロンEX', 'PROMO', '草', '029/XY-P', 'XY-P')]
